from_type,to_type,transitions,pct
DECEPTIVE PRACTICE,SEX OFFENSE,4,0.32
DECEPTIVE PRACTICE,OFFENSE INVOLVING CHILDREN,4,0.32
DECEPTIVE PRACTICE,ARSON,3,0.24
DECEPTIVE PRACTICE,INTERFERENCE WITH PUBLIC OFFICER,2,0.16
DECEPTIVE PRACTICE,CONCEALED CARRY LICENSE VIOLATION,1,0.08
DECEPTIVE PRACTICE,LIQUOR LAW VIOLATION,1,0.08
DECEPTIVE PRACTICE,STALKING,1,0.08
DECEPTIVE PRACTICE,INTIMIDATION,1,0.08
DECEPTIVE PRACTICE,KIDNAPPING,1,0.08
DECEPTIVE PRACTICE,HOMICIDE,1,0.08
INTERFERENCE WITH PUBLIC OFFICER,BATTERY,30,24.0
INTERFERENCE WITH PUBLIC OFFICER,THEFT,28,22.4
INTERFERENCE WITH PUBLIC OFFICER,CRIMINAL DAMAGE,11,8.8
INTERFERENCE WITH PUBLIC OFFICER,OTHER OFFENSE,9,7.2
INTERFERENCE WITH PUBLIC OFFICER,ASSAULT,9,7.2
INTERFERENCE WITH PUBLIC OFFICER,NARCOTICS,7,5.6
INTERFERENCE WITH PUBLIC OFFICER,ROBBERY,5,4.0
INTERFERENCE WITH PUBLIC OFFICER,WEAPONS VIOLATION,4,3.2
INTERFERENCE WITH PUBLIC OFFICER,INTERFERENCE WITH PUBLIC OFFICER,4,3.2
INTERFERENCE WITH PUBLIC OFFICER,MOTOR VEHICLE THEFT,4,3.2
INTERFERENCE WITH PUBLIC OFFICER,BURGLARY,3,2.4
INTERFERENCE WITH PUBLIC OFFICER,CRIMINAL TRESPASS,2,1.6
INTERFERENCE WITH PUBLIC OFFICER,CRIMINAL SEXUAL ASSAULT,2,1.6
INTERFERENCE WITH PUBLIC OFFICER,PUBLIC PEACE VIOLATION,2,1.6
INTERFERENCE WITH PUBLIC OFFICER,DECEPTIVE PRACTICE,2,1.6
INTERFERENCE WITH PUBLIC OFFICER,CONCEALED CARRY LICENSE VIOLATION,1,0.8
INTERFERENCE WITH PUBLIC OFFICER,OFFENSE INVOLVING CHILDREN,1,0.8
INTERFERENCE WITH PUBLIC OFFICER,HOMICIDE,1,0.8
MOTOR VEHICLE THEFT,THEFT,302,19.03
MOTOR VEHICLE THEFT,BATTERY,255,16.07
MOTOR VEHICLE THEFT,MOTOR VEHICLE THEFT,200,12.6
MOTOR VEHICLE THEFT,CRIMINAL DAMAGE,193,12.16
MOTOR VEHICLE THEFT,ASSAULT,133,8.38
MOTOR VEHICLE THEFT,OTHER OFFENSE,112,7.06
MOTOR VEHICLE THEFT,BURGLARY,104,6.55
MOTOR VEHICLE THEFT,DECEPTIVE PRACTICE,77,4.85
MOTOR VEHICLE THEFT,CRIMINAL TRESPASS,40,2.52
MOTOR VEHICLE THEFT,NARCOTICS,37,2.33
MOTOR VEHICLE THEFT,ROBBERY,35,2.21
MOTOR VEHICLE THEFT,WEAPONS VIOLATION,35,2.21
MOTOR VEHICLE THEFT,OFFENSE INVOLVING CHILDREN,16,1.01
MOTOR VEHICLE THEFT,CRIMINAL SEXUAL ASSAULT,13,0.82
MOTOR VEHICLE THEFT,SEX OFFENSE,13,0.82
MOTOR VEHICLE THEFT,INTERFERENCE WITH PUBLIC OFFICER,6,0.38
MOTOR VEHICLE THEFT,PUBLIC PEACE VIOLATION,5,0.32
MOTOR VEHICLE THEFT,STALKING,4,0.25
MOTOR VEHICLE THEFT,INTIMIDATION,2,0.13
MOTOR VEHICLE THEFT,ARSON,2,0.13
MOTOR VEHICLE THEFT,CONCEALED CARRY LICENSE VIOLATION,2,0.13
MOTOR VEHICLE THEFT,HOMICIDE,1,0.06
NARCOTICS,NARCOTICS,278,30.35
NARCOTICS,BATTERY,146,15.94
NARCOTICS,THEFT,105,11.46
NARCOTICS,ASSAULT,74,8.08
NARCOTICS,OTHER OFFENSE,53,5.79
NARCOTICS,CRIMINAL DAMAGE,48,5.24
NARCOTICS,MOTOR VEHICLE THEFT,46,5.02
NARCOTICS,WEAPONS VIOLATION,37,4.04
NARCOTICS,ROBBERY,31,3.38
NARCOTICS,DECEPTIVE PRACTICE,22,2.4
NARCOTICS,CRIMINAL TRESPASS,20,2.18
NARCOTICS,PUBLIC PEACE VIOLATION,11,1.2
NARCOTICS,INTERFERENCE WITH PUBLIC OFFICER,10,1.09
NARCOTICS,BURGLARY,10,1.09
NARCOTICS,OFFENSE INVOLVING CHILDREN,8,0.87
NARCOTICS,CRIMINAL SEXUAL ASSAULT,8,0.87
NARCOTICS,HOMICIDE,3,0.33
NARCOTICS,SEX OFFENSE,3,0.33
NARCOTICS,KIDNAPPING,1,0.11
NARCOTICS,PROSTITUTION,1,0.11
NARCOTICS,STALKING,1,0.11
OFFENSE INVOLVING CHILDREN,BATTERY,42,23.86
OFFENSE INVOLVING CHILDREN,THEFT,30,17.05
OFFENSE INVOLVING CHILDREN,ASSAULT,19,10.8
OFFENSE INVOLVING CHILDREN,CRIMINAL DAMAGE,16,9.09
OFFENSE INVOLVING CHILDREN,MOTOR VEHICLE THEFT,12,6.82
OFFENSE INVOLVING CHILDREN,DECEPTIVE PRACTICE,10,5.68
OFFENSE INVOLVING CHILDREN,WEAPONS VIOLATION,10,5.68
OFFENSE INVOLVING CHILDREN,NARCOTICS,8,4.55
OFFENSE INVOLVING CHILDREN,OTHER OFFENSE,6,3.41
OFFENSE INVOLVING CHILDREN,CRIMINAL TRESPASS,5,2.84
OFFENSE INVOLVING CHILDREN,BURGLARY,4,2.27
OFFENSE INVOLVING CHILDREN,ROBBERY,4,2.27
OFFENSE INVOLVING CHILDREN,OFFENSE INVOLVING CHILDREN,3,1.7
OFFENSE INVOLVING CHILDREN,CRIMINAL SEXUAL ASSAULT,2,1.14
OFFENSE INVOLVING CHILDREN,ARSON,1,0.57
OFFENSE INVOLVING CHILDREN,INTERFERENCE WITH PUBLIC OFFICER,1,0.57
OFFENSE INVOLVING CHILDREN,SEX OFFENSE,1,0.57
OFFENSE INVOLVING CHILDREN,INTIMIDATION,1,0.57
OFFENSE INVOLVING CHILDREN,PUBLIC PEACE VIOLATION,1,0.57
OTHER OFFENSE,BATTERY,322,19.62
OTHER OFFENSE,OTHER OFFENSE,299,18.22
OTHER OFFENSE,THEFT,270,16.45
OTHER OFFENSE,CRIMINAL DAMAGE,172,10.48
OTHER OFFENSE,ASSAULT,159,9.69
OTHER OFFENSE,MOTOR VEHICLE THEFT,93,5.67
OTHER OFFENSE,DECEPTIVE PRACTICE,61,3.72
OTHER OFFENSE,BURGLARY,51,3.11
OTHER OFFENSE,NARCOTICS,50,3.05
OTHER OFFENSE,CRIMINAL TRESPASS,44,2.68
OTHER OFFENSE,WEAPONS VIOLATION,33,2.01
OTHER OFFENSE,ROBBERY,22,1.34
OTHER OFFENSE,OFFENSE INVOLVING CHILDREN,13,0.79
OTHER OFFENSE,INTERFERENCE WITH PUBLIC OFFICER,10,0.61
OTHER OFFENSE,SEX OFFENSE,8,0.49
OTHER OFFENSE,CRIMINAL SEXUAL ASSAULT,8,0.49
OTHER OFFENSE,STALKING,7,0.43
OTHER OFFENSE,PUBLIC PEACE VIOLATION,5,0.3
OTHER OFFENSE,CONCEALED CARRY LICENSE VIOLATION,4,0.24
OTHER OFFENSE,LIQUOR LAW VIOLATION,3,0.18
OTHER OFFENSE,HOMICIDE,3,0.18
OTHER OFFENSE,ARSON,2,0.12
OTHER OFFENSE,INTIMIDATION,2,0.12
PUBLIC PEACE VIOLATION,THEFT,30,21.9
PUBLIC PEACE VIOLATION,BATTERY,25,18.25
PUBLIC PEACE VIOLATION,ASSAULT,17,12.41
PUBLIC PEACE VIOLATION,CRIMINAL DAMAGE,15,10.95
PUBLIC PEACE VIOLATION,CRIMINAL TRESPASS,9,6.57
PUBLIC PEACE VIOLATION,OTHER OFFENSE,7,5.11
PUBLIC PEACE VIOLATION,NARCOTICS,6,4.38
PUBLIC PEACE VIOLATION,MOTOR VEHICLE THEFT,6,4.38
PUBLIC PEACE VIOLATION,WEAPONS VIOLATION,4,2.92
PUBLIC PEACE VIOLATION,PUBLIC PEACE VIOLATION,4,2.92
PUBLIC PEACE VIOLATION,DECEPTIVE PRACTICE,3,2.19
PUBLIC PEACE VIOLATION,ARSON,2,1.46
PUBLIC PEACE VIOLATION,INTIMIDATION,2,1.46
PUBLIC PEACE VIOLATION,ROBBERY,2,1.46
PUBLIC PEACE VIOLATION,BURGLARY,2,1.46
PUBLIC PEACE VIOLATION,CRIMINAL SEXUAL ASSAULT,1,0.73
PUBLIC PEACE VIOLATION,OFFENSE INVOLVING CHILDREN,1,0.73
PUBLIC PEACE VIOLATION,SEX OFFENSE,1,0.73
ROBBERY,BATTERY,112,21.25
ROBBERY,THEFT,103,19.54
ROBBERY,ASSAULT,49,9.3
ROBBERY,CRIMINAL DAMAGE,44,8.35
ROBBERY,ROBBERY,42,7.97
ROBBERY,DECEPTIVE PRACTICE,33,6.26
ROBBERY,OTHER OFFENSE,28,5.31
ROBBERY,MOTOR VEHICLE THEFT,28,5.31
ROBBERY,NARCOTICS,26,4.93
ROBBERY,CRIMINAL TRESPASS,16,3.04
ROBBERY,BURGLARY,16,3.04
ROBBERY,WEAPONS VIOLATION,14,2.66
ROBBERY,INTERFERENCE WITH PUBLIC OFFICER,4,0.76
ROBBERY,OFFENSE INVOLVING CHILDREN,4,0.76
ROBBERY,CRIMINAL SEXUAL ASSAULT,3,0.57
ROBBERY,LIQUOR LAW VIOLATION,1,0.19
ROBBERY,PROSTITUTION,1,0.19
ROBBERY,PUBLIC PEACE VIOLATION,1,0.19
ROBBERY,CONCEALED CARRY LICENSE VIOLATION,1,0.19
ROBBERY,ARSON,1,0.19
SEX OFFENSE,BATTERY,26,20.63
SEX OFFENSE,THEFT,24,19.05
SEX OFFENSE,CRIMINAL DAMAGE,15,11.9
SEX OFFENSE,OTHER OFFENSE,14,11.11
SEX OFFENSE,ASSAULT,13,10.32
SEX OFFENSE,MOTOR VEHICLE THEFT,7,5.56
SEX OFFENSE,CRIMINAL SEXUAL ASSAULT,5,3.97
SEX OFFENSE,BURGLARY,5,3.97
SEX OFFENSE,DECEPTIVE PRACTICE,4,3.17
SEX OFFENSE,SEX OFFENSE,4,3.17
SEX OFFENSE,OFFENSE INVOLVING CHILDREN,3,2.38
SEX OFFENSE,ROBBERY,2,1.59
SEX OFFENSE,WEAPONS VIOLATION,2,1.59
SEX OFFENSE,INTERFERENCE WITH PUBLIC OFFICER,1,0.79
SEX OFFENSE,NARCOTICS,1,0.79
THEFT,THEFT,3393,48.75
THEFT,BATTERY,798,11.47
THEFT,CRIMINAL DAMAGE,523,7.51
THEFT,ASSAULT,447,6.42
THEFT,DECEPTIVE PRACTICE,318,4.57
THEFT,MOTOR VEHICLE THEFT,295,4.24
THEFT,OTHER OFFENSE,253,3.64
THEFT,BURGLARY,251,3.61
THEFT,CRIMINAL TRESPASS,190,2.73
THEFT,ROBBERY,121,1.74
THEFT,NARCOTICS,110,1.58
THEFT,WEAPONS VIOLATION,83,1.19
THEFT,CRIMINAL SEXUAL ASSAULT,32,0.46
THEFT,SEX OFFENSE,28,0.4
THEFT,PUBLIC PEACE VIOLATION,27,0.39
THEFT,INTERFERENCE WITH PUBLIC OFFICER,26,0.37
THEFT,OFFENSE INVOLVING CHILDREN,17,0.24
THEFT,STALKING,10,0.14
THEFT,LIQUOR LAW VIOLATION,8,0.11
THEFT,HOMICIDE,8,0.11
THEFT,CONCEALED CARRY LICENSE VIOLATION,7,0.1
THEFT,KIDNAPPING,5,0.07
THEFT,INTIMIDATION,3,0.04
THEFT,PUBLIC INDECENCY,3,0.04
THEFT,ARSON,3,0.04
THEFT,PROSTITUTION,1,0.01
WEAPONS VIOLATION,BATTERY,102,20.65
WEAPONS VIOLATION,THEFT,66,13.36
WEAPONS VIOLATION,ASSAULT,57,11.54
WEAPONS VIOLATION,CRIMINAL DAMAGE,44,8.91
WEAPONS VIOLATION,MOTOR VEHICLE THEFT,43,8.7
WEAPONS VIOLATION,OTHER OFFENSE,34,6.88
WEAPONS VIOLATION,NARCOTICS,30,6.07
WEAPONS VIOLATION,WEAPONS VIOLATION,29,5.87
WEAPONS VIOLATION,CRIMINAL TRESPASS,17,3.44
WEAPONS VIOLATION,BURGLARY,17,3.44
WEAPONS VIOLATION,DECEPTIVE PRACTICE,16,3.24
WEAPONS VIOLATION,ROBBERY,13,2.63
WEAPONS VIOLATION,PUBLIC PEACE VIOLATION,8,1.62
WEAPONS VIOLATION,OFFENSE INVOLVING CHILDREN,6,1.21
WEAPONS VIOLATION,INTERFERENCE WITH PUBLIC OFFICER,3,0.61
WEAPONS VIOLATION,CRIMINAL SEXUAL ASSAULT,3,0.61
WEAPONS VIOLATION,SEX OFFENSE,2,0.4
WEAPONS VIOLATION,CONCEALED CARRY LICENSE VIOLATION,1,0.2
WEAPONS VIOLATION,STALKING,1,0.2
WEAPONS VIOLATION,HOMICIDE,1,0.2
WEAPONS VIOLATION,INTIMIDATION,1,0.2
